Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain
1971,PhD,Divorced,65808.0,1,1,3138,1,155,7,80,13,7,10,3,5,1,5,6,0,0
1986,Graduation,Married,79529.0,0,0,3171,1,423,42,706,73,197,197,1,4,8,9,2,0,0
1972,PhD,Together,34578.0,2,1,2980,1,7,0,1,0,0,0,1,1,0,2,6,0,0
1974,PhD,Married,46374.0,0,1,3212,1,408,0,21,0,0,17,3,7,1,7,8,1,0
1990,Graduation,Married,18351.0,0,0,3351,1,1,12,9,0,14,7,1,2,0,3,7,0,0
1987,PhD,Single,95169.0,0,0,3400,1,1285,21,449,106,20,20,1,4,3,4,1,1,0
1984,2n Cycle,Married,65370.0,0,0,3645,1,71,22,112,138,89,29,1,2,3,13,1,0,0
1960,Master,Divorced,39228.0,0,0,3375,1,7,1,6,0,3,3,1,0,0,3,4,0,0
1961,PhD,Single,84865.0,0,0,3405,1,1248,16,349,43,16,16,1,2,4,9,4,1,0
1968,Graduation,Married,61314.0,0,1,3538,1,378,0,189,97,172,172,2,5,5,12,3,0,0
1972,Graduation,Single,21359.0,1,0,3543,1,12,2,17,6,1,10,2,2,0,3,8,1,0
1955,PhD,Married,66465.0,0,1,3564,1,1200,0,204,38,29,14,3,11,9,12,6,0,0
1983,2n Cycle,Single,81698.0,0,0,3650,1,709,45,115,30,160,45,1,8,2,5,5,1,0
1986,Graduation,Single,39146.0,1,0,3608,1,94,1,33,13,12,12,3,4,0,4,8,0,0
1970,2n Cycle,Divorced,25959.0,1,1,3608,1,4,2,12,7,5,26,2,1,2,2,6,1,0
1961,Graduation,Together,64260.0,0,0,3348,1,539,169,816,20,0,30,1,4,5,4,3,1,0
1973,Graduation,Married,32300.0,1,0,3593,1,13,3,6,6,5,6,1,1,0,3,8,0,0
1965,Master,Married,74806.0,0,1,3665,1,670,9,249,0,28,9,2,5,4,5,4,0,0
1970,Graduation,Divorced,72967.0,0,1,3669,1,158,35,179,0,0,125,2,7,2,8,5,1,0
1960,Graduation,Single,48904.0,0,1,3976,1,283,10,38,0,13,27,4,7,2,4,8,0,0
1984,2n Cycle,Married,14796.0,1,0,3758,1,13,3,8,7,4,16,2,1,0,3,9,1,0
1954,Master,Married,66991.0,0,0,3705,1,496,36,460,189,60,12,3,4,8,6,3,0,0
1978,2n Cycle,Single,52195.0,2,1,2949,2,12,0,4,0,0,1,1,1,0,2,8,0,0
1956,Graduation,Married,90369.0,0,0,3170,2,292,51,981,224,23,17,1,4,6,6,1,1,0
1974,Basic,Married,18393.0,1,0,3200,2,7,10,13,16,0,4,2,3,0,3,8,0,0
1952,Graduation,Single,47139.0,1,1,3134,2,46,0,12,0,2,23,2,2,1,2,7,1,0
1973,Master,Married,38576.0,0,1,3195,2,34,0,7,0,0,0,1,1,0,3,7,0,0
1975,PhD,Together,61905.0,0,1,3196,2,167,0,43,6,2,13,2,4,2,4,5,0,0
1962,Graduation,Married,83715.0,0,0,3227,2,318,8,407,150,35,8,1,2,8,13,0,0,0
1964,Graduation,Married,60597.0,0,1,3287,2,522,0,257,32,16,66,4,2,2,8,7,1,0
1982,Master,Single,6560.0,0,0,3307,2,67,11,26,4,3,262,0,1,0,1,17,0,0
1961,Master,Together,48330.0,0,1,3334,2,28,0,4,0,0,0,1,1,0,3,5,0,0
1968,PhD,Single,38236.0,1,1,3390,2,58,0,18,2,0,10,4,3,0,4,7,0,0
1977,Master,Married,22701.0,1,0,3524,2,2,4,9,0,4,5,1,1,0,3,5,0,0
1974,Master,Divorced,53367.0,1,1,3410,2,229,7,140,10,3,11,7,5,1,8,7,1,0
1986,Graduation,Together,34728.0,1,0,3442,2,14,0,16,0,0,6,1,1,1,2,6,1,0
1956,Master,Married,63915.0,0,2,3442,2,622,7,115,30,0,15,2,6,3,12,5,0,0
1960,2n Cycle,Married,82504.0,0,0,3445,2,362,50,431,134,35,54,1,3,6,7,1,0,0
1972,PhD,Single,38578.0,1,1,3480,2,38,4,22,3,3,3,3,3,0,3,8,1,0
1972,PhD,Single,38578.0,1,1,3480,2,38,4,22,3,3,3,3,3,0,3,8,0,0
1975,PhD,Married,79174.0,0,0,3348,2,1074,37,518,193,92,129,1,5,6,7,2,1,0
1962,2n Cycle,Divorced,81975.0,0,1,3532,2,983,76,184,180,138,27,1,6,3,4,7,0,0
1977,Master,Married,43263.0,0,1,3693,2,262,6,61,0,10,102,3,5,2,6,5,0,0
1970,Graduation,Single,27242.0,1,0,3703,2,3,17,26,20,1,39,2,2,0,3,9,1,0
1971,Graduation,Married,76445.0,1,0,3747,2,739,107,309,140,80,35,1,2,5,13,6,0,0
1965,Graduation,Together,75276.0,0,0,3748,2,610,105,125,137,42,21,1,9,4,9,5,0,0
1963,Graduation,Widow,34213.0,1,1,3828,2,50,4,28,6,3,26,3,3,1,2,9,1,0
1976,PhD,Together,72335.0,0,0,3793,2,1285,105,653,28,21,0,1,10,4,8,8,1,0
1964,Master,Married,79143.0,0,0,3706,2,650,37,780,27,167,32,1,6,9,13,3,0,0
1947,Graduation,Married,27469.0,0,0,3980,2,9,1,2,3,2,0,1,0,0,3,6,0,0
1969,Graduation,Together,68695.0,0,0,3112,3,458,81,356,106,50,40,1,4,4,7,2,0,0
1969,Graduation,Together,68695.0,0,0,3112,3,458,81,356,106,50,40,1,4,4,7,2,0,0
1957,Graduation,Single,50388.0,0,1,3140,3,292,6,37,0,3,34,4,6,1,6,7,1,0
1970,PhD,Together,77622.0,0,2,3184,3,520,7,154,19,0,14,2,6,3,11,3,0,0
1962,Graduation,Divorced,46102.0,2,1,3012,3,14,0,1,0,0,1,1,1,0,2,7,0,0
1980,2n Cycle,Single,31859.0,1,0,3230,3,3,4,7,15,8,11,1,1,0,3,7,0,0
1987,2n Cycle,Single,23830.0,0,0,3105,3,1,8,6,4,8,16,1,1,0,3,7,0,0
1973,Graduation,Married,24639.0,1,1,3260,3,20,3,16,0,4,1,3,2,0,4,6,0,0
1945,PhD,Together,71604.0,0,0,3332,3,345,53,528,98,75,97,1,8,3,5,4,1,0
1984,Graduation,Married,27255.0,1,0,3461,3,22,1,11,0,1,2,1,1,0,3,7,0,0
1977,Graduation,Together,55375.0,0,1,3363,3,42,11,57,10,28,14,1,1,1,6,2,0,0
1960,PhD,Married,77037.0,0,1,3367,3,463,96,333,168,53,10,1,7,7,12,3,0,0
1970,Graduation,Single,24163.0,1,1,3309,3,4,1,7,2,1,2,2,1,0,3,4,0,0
1969,PhD,Together,69476.0,0,0,3380,3,260,86,559,63,9,67,1,4,6,4,2,0,0
1979,Graduation,Married,72063.0,0,1,3587,3,180,32,348,76,32,90,2,5,2,12,2,0,0
1962,Master,Married,58646.0,0,1,3374,3,62,1,44,6,5,22,1,2,1,4,4,0,0
1962,Master,Married,58646.0,0,1,3374,3,62,1,44,6,5,22,1,2,1,4,4,0,0
1949,Master,Widow,47570.0,1,1,3504,3,67,1,20,0,2,31,3,2,2,2,7,1,0
1980,Graduation,Married,80011.0,0,1,3534,3,421,76,536,82,178,102,2,8,6,5,4,0,0
1956,PhD,Single,54998.0,0,1,3377,3,154,22,202,39,30,8,5,4,2,9,4,1,0
1948,PhD,Single,60200.0,0,1,3621,3,502,19,132,0,6,26,6,6,2,11,6,0,0
1982,Graduation,Married,63211.0,0,0,3977,3,145,193,459,205,26,145,2,3,8,7,2,1,0
1973,PhD,Single,48432.0,0,1,3727,3,322,3,50,4,3,42,5,7,1,6,8,1,0
1949,Master,Married,62845.0,1,1,4009,3,1099,0,45,0,0,34,11,3,4,10,8,0,0
1949,Master,Married,62845.0,1,1,4009,3,1099,0,45,0,0,34,11,3,4,10,8,1,0
1965,PhD,Together,65220.0,0,0,3950,3,890,63,292,0,25,12,4,8,4,7,6,1,0
1990,PhD,Married,74214.0,0,0,3780,3,863,83,547,86,99,33,1,8,2,5,5,0,0
1980,2n Cycle,Married,96547.0,0,0,3145,4,448,21,125,52,101,62,0,7,6,8,2,1,0
1955,Graduation,Together,53863.0,0,1,3151,4,399,4,30,6,4,30,3,7,1,7,7,0,0
1970,Graduation,Married,50447.0,2,0,3177,4,85,7,24,2,3,27,1,3,1,3,6,0,0
1953,Graduation,Married,37716.0,0,1,3177,4,97,1,41,6,2,41,2,4,1,3,7,0,0
1982,Graduation,Together,45203.0,2,0,3206,4,35,3,67,10,8,24,1,3,1,3,6,1,0
1975,Master,Married,37368.0,1,0,3303,4,3,2,11,2,2,10,1,1,0,2,6,0,0
1955,Graduation,Married,67225.0,0,1,3323,4,315,35,322,46,7,143,3,7,2,11,5,0,0
1976,Master,Together,65104.0,0,1,3335,4,738,0,232,13,20,50,2,3,5,7,7,1,0
1976,Master,Together,65104.0,0,1,3335,4,738,0,232,13,20,50,2,3,5,7,7,0,0
1949,Master,Married,81698.0,0,0,3491,4,179,28,520,111,123,47,1,3,8,13,1,1,0
1968,Graduation,Single,70566.0,0,1,3492,4,381,28,215,84,28,21,2,6,5,9,3,0,0
1958,Graduation,Together,69096.0,0,1,3383,4,247,49,159,7,82,109,1,5,2,10,4,0,0
1962,Graduation,Married,71434.0,0,1,3392,4,711,36,217,172,96,168,3,7,4,7,4,0,0
1978,Graduation,Married,33039.0,1,0,3401,4,30,8,12,8,8,12,1,2,0,4,5,0,0
1978,Graduation,Married,33039.0,1,0,3401,4,30,8,12,8,8,12,1,2,0,4,5,0,0
1958,Graduation,Together,46610.0,0,0,3454,4,288,10,30,4,10,125,1,6,1,6,6,0,0
1958,Graduation,Single,49967.0,0,1,3434,4,212,6,69,4,12,3,3,6,1,5,7,0,0
1976,Graduation,Married,53359.0,1,1,3506,4,173,4,30,3,6,41,4,5,1,4,7,0,0
1971,Master,Married,49505.0,1,1,3530,4,604,0,100,19,0,28,9,10,2,8,8,0,0
1946,Master,Married,68657.0,0,0,3602,4,482,34,471,119,68,22,1,3,5,9,7,0,0
1954,Graduation,Divorced,72071.0,0,1,3608,4,531,69,300,150,138,150,3,5,4,8,2,0,0
1954,Graduation,Divorced,72071.0,0,1,3608,4,531,69,300,150,138,150,3,5,4,8,2,0,0
1967,Master,Single,59235.0,1,0,3318,4,448,40,469,80,0,91,3,11,2,12,7,0,0
1957,Graduation,Together,21994.0,0,1,3660,4,9,0,6,3,1,3,1,0,0,3,5,0,0
1957,Graduation,Together,21994.0,0,1,3660,4,9,0,6,3,1,3,1,0,0,3,5,0,0
1972,Graduation,Married,69209.0,0,0,3758,4,496,32,849,229,48,128,2,5,3,6,4,0,0
1989,Graduation,Together,31928.0,1,0,3201,5,33,4,24,4,2,5,2,3,0,4,7,0,0
1987,PhD,Single,74004.0,0,0,3233,5,784,48,560,42,176,48,1,4,6,4,3,1,0
1987,2n Cycle,Married,30390.0,0,0,3613,5,10,12,12,25,1,20,1,2,0,3,6,0,0
1985,Graduation,Married,21355.0,1,0,3421,5,5,13,14,0,5,31,2,2,1,2,6,1,0
1969,Graduation,Married,26304.0,1,0,3479,5,4,1,5,2,0,4,1,1,0,2,7,0,0
1989,2n Cycle,Married,85710.0,0,0,3528,5,600,20,350,29,30,33,1,6,9,10,2,0,0
1974,Graduation,Divorced,102692.0,0,0,3529,5,168,148,444,32,172,148,1,6,9,13,2,1,0
1971,Graduation,Single,58350.0,0,1,3562,5,493,26,206,116,80,80,4,8,3,12,6,0,0
1978,Graduation,Single,7500.0,1,1,3657,5,6,5,4,13,4,25,4,2,1,3,6,0,0
1984,Master,Single,18890.0,0,0,3734,5,6,4,1,7,2,15,1,0,1,2,6,1,0
1986,Basic,Married,20425.0,1,0,3716,5,4,12,5,3,16,17,2,2,0,3,7,0,0
1986,Basic,Married,20425.0,1,0,3716,5,4,12,5,3,16,17,2,2,0,3,7,0,0
1957,PhD,Divorced,41437.0,1,1,3753,5,29,0,2,0,0,1,1,1,0,3,7,0,0
1949,Master,Together,49912.0,0,1,3828,5,520,8,223,32,49,42,4,10,5,7,8,1,0
1949,Master,Together,49912.0,0,1,3828,5,520,8,223,32,49,42,4,10,5,7,8,1,0
1959,Graduation,Married,79823.0,0,1,3198,6,835,73,380,114,73,43,1,6,9,7,2,0,0
1954,Graduation,Divorced,85683.0,0,0,3208,6,1296,17,311,45,69,51,1,2,4,10,1,1,0
1965,PhD,Divorced,47025.0,1,1,3043,6,16,0,3,0,0,1,1,1,0,2,7,0,0
1976,PhD,Married,68397.0,0,1,3332,6,760,80,466,17,13,80,1,6,9,5,3,0,0
1984,PhD,Married,38175.0,1,0,3387,6,70,6,69,2,3,3,3,3,1,4,7,0,0
1972,Master,Single,46423.0,1,1,3392,6,68,0,16,0,0,8,3,2,0,4,7,0,0
1972,Master,Single,46423.0,1,1,3392,6,68,0,16,0,0,8,3,2,0,4,7,0,0
1976,Master,Together,30560.0,1,0,3475,6,9,1,5,4,5,7,1,1,0,3,7,0,0
1976,Master,Together,30560.0,1,0,3475,6,9,1,5,4,5,7,1,1,0,3,7,0,0
1979,Graduation,Single,60152.0,0,1,3566,6,325,83,300,86,58,91,1,6,4,12,3,0,0
1965,Graduation,Together,29672.0,1,1,3316,6,9,1,3,0,4,8,1,0,0,3,6,0,0
1965,Graduation,Together,29672.0,1,1,3316,6,9,1,3,0,4,8,1,0,0,3,6,0,0
1947,Graduation,Together,70321.0,0,0,3637,6,303,23,751,82,26,191,1,6,5,13,4,1,0
1962,Graduation,Married,56181.0,0,1,3440,6,121,103,69,8,44,48,1,4,2,7,4,0,0
1990,Basic,Married,24279.0,0,0,3655,6,16,36,21,20,62,108,1,4,1,3,8,0,0
1969,PhD,Married,68462.0,0,0,3672,6,561,64,785,84,128,48,1,3,3,8,1,0,0
1976,PhD,Married,55424.0,0,1,3689,6,462,61,184,10,53,107,4,7,5,9,6,1,0
1973,Graduation,Married,49094.0,0,1,3754,6,376,0,38,11,8,69,5,6,3,6,6,0,0
1961,2n Cycle,Widow,59184.0,0,1,3766,6,341,142,113,259,151,66,3,6,6,12,5,0,0
1987,Graduation,Together,67430.0,0,0,3889,6,595,97,291,127,133,121,1,11,5,12,6,0,0
1960,Master,Married,30522.0,0,1,3789,6,179,8,83,19,11,26,5,1,2,9,2,0,0
1977,2n Cycle,Single,31878.0,0,1,3115,7,23,4,5,10,5,23,1,1,0,4,3,0,0
1992,Graduation,Single,83528.0,0,0,3283,7,530,117,678,134,44,147,1,4,10,8,1,1,0
1979,Graduation,Together,90300.0,0,0,3228,7,594,134,786,33,134,57,0,5,6,8,1,0,0
1978,Master,Single,68092.0,0,0,3303,7,852,60,207,78,36,48,2,2,6,10,5,0,0
1972,Master,Married,53761.0,1,1,3339,7,158,0,76,13,7,71,6,4,4,3,5,0,0
1973,Graduation,Married,52845.0,1,0,3428,7,384,25,292,130,41,64,3,8,8,6,6,0,0
1976,Graduation,Married,24027.0,1,0,3404,7,14,7,11,11,0,5,2,2,0,3,8,0,0
1979,2n Cycle,Together,7500.0,1,0,3467,7,2,8,11,3,8,21,4,3,2,2,7,0,0
1955,Graduation,Together,42586.0,1,1,3716,7,194,2,56,0,0,0,5,4,1,6,8,1,0
1955,Graduation,Together,42586.0,1,1,3716,7,194,2,56,0,0,0,5,4,1,6,8,1,0
1973,Basic,Together,9722.0,1,0,3978,7,6,17,16,6,16,42,4,3,1,3,8,1,0
1975,PhD,Married,86836.0,0,0,3675,7,179,21,273,0,21,63,1,6,10,6,5,1,0
1972,Graduation,Married,30467.0,1,0,3210,8,1,3,8,2,5,5,1,1,0,2,7,0,0
1952,PhD,Married,54549.0,0,1,3226,8,216,2,6,0,0,9,2,5,1,4,7,0,0
1982,Graduation,Together,19444.0,1,0,3235,8,16,0,23,3,2,10,3,4,1,2,7,1,0
1956,Master,Together,69245.0,0,1,3264,8,428,30,214,80,30,61,2,6,5,10,3,0,0
1963,PhD,Divorced,72968.0,0,0,3303,8,1092,37,592,145,37,55,1,5,5,8,3,1,0
1953,Graduation,Married,48686.0,1,2,3551,8,10,0,7,2,0,1,1,1,0,2,8,0,0
1990,Graduation,Married,73687.0,0,0,3321,8,559,153,503,218,13,181,1,3,9,9,2,1,0
1944,PhD,Single,82716.0,0,0,3522,8,606,148,228,15,148,22,1,6,8,13,2,0,0
1981,2n Cycle,Married,35523.0,1,0,3584,8,11,5,22,12,5,11,2,3,0,3,7,0,0
1975,PhD,Divorced,60554.0,1,0,3402,8,588,7,76,110,15,15,2,8,4,9,6,0,0
1956,Graduation,Together,64090.0,0,1,3464,8,316,58,161,76,51,135,1,6,9,4,5,1,0
1965,Graduation,Single,61559.0,0,1,3455,8,279,83,88,32,14,34,1,4,2,10,3,0,0
1962,PhD,Widow,71670.0,0,0,3403,8,1462,16,128,0,0,160,1,5,3,6,6,1,0
1951,PhD,Widow,67680.0,0,1,3343,8,546,0,48,0,6,6,1,7,3,8,5,0,0
1981,Graduation,Married,54386.0,0,1,3516,8,277,21,64,62,21,25,2,3,2,10,3,0,0
1953,PhD,Single,64108.0,0,1,3571,8,948,10,86,13,21,21,4,6,9,11,5,0,0
1951,PhD,Together,69702.0,0,1,3603,8,664,9,240,50,19,57,2,7,7,10,4,0,0
1952,Graduation,Single,47958.0,0,1,3634,8,268,11,88,15,3,22,2,6,3,5,5,0,0
1960,Graduation,Married,67716.0,0,1,3379,8,530,142,217,62,9,56,4,7,4,13,5,0,0
1971,Graduation,Together,34600.0,1,1,3652,8,199,33,60,8,3,15,5,5,2,5,8,1,0
1971,Graduation,Together,34600.0,1,1,3652,8,199,33,60,8,3,15,5,5,2,5,8,1,0
1969,Graduation,Married,48752.0,1,1,3672,8,73,57,100,71,15,0,5,6,1,5,9,1,0
1988,2n Cycle,Married,15716.0,1,0,3673,8,16,5,30,8,7,26,3,3,0,4,8,0,1
1952,PhD,Divorced,46610.0,0,2,3716,8,96,12,96,33,22,43,6,4,1,6,6,1,0
1977,Graduation,Married,74985.0,0,0,3705,8,587,51,898,247,0,86,1,3,6,7,2,0,0
1945,PhD,Single,45576.0,0,0,3140,9,56,19,29,2,14,25,1,3,1,3,8,1,0
1945,PhD,Single,113734.0,0,0,3140,9,6,2,3,1,262,3,0,27,0,0,1,0,0
1987,Graduation,Single,57100.0,1,0,3150,9,158,11,99,15,11,17,2,3,2,7,3,0,0
1972,Graduation,Married,24434.0,2,0,3150,9,3,2,8,20,0,17,2,2,1,2,7,0,0
1971,PhD,Married,37126.0,1,0,3199,9,45,3,9,4,4,7,1,1,2,2,6,1,0
1958,Graduation,Single,45160.0,1,1,3200,9,8,2,5,3,0,3,1,1,0,2,7,0,0
1977,Graduation,Together,33178.0,1,0,3258,9,12,6,2,11,2,16,1,1,0,3,4,0,0
1950,Master,Widow,64866.0,0,1,3262,9,508,5,21,7,5,10,4,7,3,7,5,0,0
1975,Master,Together,34176.0,0,1,3266,9,11,2,7,4,2,2,1,1,0,3,3,0,0
1968,Master,Single,50014.0,1,0,3266,9,234,14,77,19,10,42,2,4,1,8,5,0,0
1948,Graduation,Married,92344.0,0,0,3273,9,992,24,694,51,19,119,0,5,10,5,1,0,0
1970,Master,Divorced,55282.0,1,0,3306,9,125,6,73,8,4,19,1,3,1,6,4,0,0
1963,PhD,Divorced,48799.0,0,1,3522,9,174,18,81,28,6,24,3,3,2,7,3,0,0
1982,PhD,Married,84169.0,0,0,3464,9,1478,19,403,0,19,0,1,7,6,6,3,1,0
1982,PhD,Married,84169.0,0,0,3464,9,1478,19,403,0,19,0,1,7,6,6,3,1,0
1971,Master,Single,39763.0,1,0,3555,9,80,1,60,4,6,16,2,5,1,2,9,1,0
1975,PhD,Divorced,74165.0,0,0,3648,9,1001,12,240,16,12,12,1,5,4,10,2,0,0
1965,Graduation,Single,42720.0,1,1,3539,9,392,5,91,28,26,112,8,7,3,7,8,1,0
1944,Graduation,Married,65275.0,0,0,3590,9,388,14,218,91,14,21,1,4,3,13,2,0,0
1961,Graduation,Married,36443.0,1,1,3592,9,65,0,46,4,3,20,4,3,1,3,8,0,0
1952,Master,Together,43776.0,1,1,3592,9,177,2,71,3,2,20,6,5,2,4,8,1,0
1965,Graduation,Together,56046.0,0,0,3621,9,577,0,64,0,0,51,2,10,1,8,8,1,0
1958,Graduation,Married,65148.0,0,1,3698,9,460,35,422,33,12,153,2,6,6,7,4,0,0
1955,Graduation,Divorced,49431.0,0,1,3951,9,219,3,100,26,0,17,2,7,1,5,8,0,0
1961,PhD,Together,32583.0,1,1,3122,10,5,0,3,0,0,1,1,1,0,2,7,0,0
1979,Master,Single,16653.0,1,0,3180,10,5,7,31,15,4,7,3,2,1,3,6,1,0
1971,2n Cycle,Together,26850.0,1,1,3180,10,31,1,13,7,2,9,4,2,1,4,4,0,0
1968,Graduation,Married,51287.0,1,1,3284,10,117,0,22,13,0,30,3,4,1,3,7,0,0
1973,2n Cycle,Married,43050.0,1,0,3211,10,30,5,24,6,3,8,2,2,0,4,5,0,0
1969,Graduation,Married,73448.0,0,0,3013,10,236,106,189,23,41,130,1,7,2,9,4,0,0
1992,Basic,Married,17256.0,1,0,3326,10,6,4,14,8,8,22,2,2,1,2,8,0,0
1961,Graduation,Single,86429.0,0,0,3328,10,464,28,873,29,18,37,0,7,4,7,2,1,0
1983,PhD,Married,33569.0,1,0,3364,10,16,2,18,3,0,24,1,1,1,2,8,1,0
1980,2n Cycle,Together,25130.0,1,0,3612,10,2,5,7,0,18,18,2,2,0,3,7,0,0
1952,Graduation,Married,62998.0,0,1,3380,10,120,58,73,65,89,58,5,5,4,5,5,0,0
1976,2n Cycle,Together,26907.0,1,1,3421,10,9,1,7,0,3,2,2,1,0,3,7,0,0
1976,2n Cycle,Together,26907.0,1,1,3421,10,9,1,7,0,3,2,2,1,0,3,7,0,0
1948,PhD,Married,45579.0,0,1,3421,10,145,1,33,2,1,1,1,4,1,4,6,0,0
1957,Graduation,Together,47320.0,0,1,3645,10,200,19,111,50,15,19,6,5,1,8,6,0,0
1976,PhD,Divorced,70179.0,0,1,3451,10,532,88,168,69,44,133,3,7,3,13,5,0,0
1976,PhD,Divorced,70179.0,0,1,3451,10,532,88,168,69,44,133,3,7,3,13,5,0,0
1986,Master,Married,28072.0,1,0,3434,10,30,0,10,2,0,5,1,1,0,3,7,0,0
1954,Graduation,Married,50501.0,1,1,3484,10,297,0,38,13,0,152,7,5,4,4,6,1,0
1969,Graduation,Together,58917.0,1,2,3570,10,151,7,89,0,7,28,5,4,1,6,5,0,0
1949,Graduation,Together,69372.0,0,0,3603,10,997,26,269,34,13,42,1,10,4,6,4,1,0
1971,Master,Married,35178.0,1,0,3379,10,23,1,13,2,2,18,1,1,1,2,7,1,0
1971,Master,Married,35178.0,1,0,3379,10,23,1,13,2,2,18,1,1,1,2,7,1,0
1968,Graduation,Divorced,75693.0,0,0,3855,10,797,153,293,72,97,30,1,11,4,6,4,1,0
1982,Graduation,Married,69109.0,0,0,3764,10,823,25,459,124,29,95,1,6,6,7,4,1,0
1982,Graduation,Married,69109.0,0,0,3764,10,823,25,459,124,29,95,1,6,6,7,4,1,0
1994,Graduation,Together,80134.0,0,0,3243,11,966,26,282,52,26,26,1,2,7,11,5,0,0
1970,Graduation,Divorced,64713.0,1,0,3105,11,180,60,241,13,54,54,2,5,5,7,4,1,0
1986,Graduation,Divorced,41411.0,0,0,3460,11,37,32,38,11,3,18,1,2,1,4,6,0,0
1955,PhD,Single,55521.0,1,2,3358,11,416,0,26,0,0,4,9,6,3,6,7,1,0
1968,Master,Together,43795.0,0,1,3364,11,314,11,53,4,3,107,3,7,3,4,7,1,0
1970,Graduation,Together,22070.0,1,0,3553,11,10,7,19,8,2,21,2,2,2,2,6,0,0
1949,Master,Married,36408.0,1,1,3389,11,9,1,4,3,2,3,1,1,0,2,6,0,0
1950,Graduation,Together,34026.0,1,1,3525,11,18,6,15,12,8,17,3,2,1,3,5,0,0
1950,Graduation,Together,34026.0,1,1,3525,11,18,6,15,12,8,17,3,2,1,3,5,0,0
1976,Graduation,Married,46049.0,1,1,3451,11,342,9,112,19,14,19,10,5,2,9,7,1,0
1972,Master,Married,35641.0,1,0,3458,11,63,3,67,8,9,28,2,3,1,4,7,1,0
1984,2n Cycle,Together,32414.0,0,0,3556,11,20,6,5,0,9,12,1,1,0,3,7,0,0
1955,PhD,Married,59821.0,0,1,3315,11,629,0,70,0,0,35,6,11,2,7,8,0,0
